Timestamp,CnC Username,### Base1 name ###,Base1 attack level,Base1 defense level,Base1 coords,### Base2 name ###,Base2 attack level,Base2 defense level,Base2 coords,### Base3 name ###,Base3 attack level,Base3 defense level,Base3 coords,### Base4 name ###,Base4 attack level,Base4 defense level,Base4 coords,### Base 5 name ###,Base5 attack level,Base5 defense level,Base5 coords,Base Statistics [Base 1],Base Statistics [Base 2],Base Statistics [Base 3],Base Statistics [Base 4],Base Statistics [Base 5]
3/24/2014 22:41:34,xbrDeckard,Blade Runner,20,18,657:227,Deckard,19,13,696:234,Nexus 6,17,15,716:231,RP Tyrell 850K,0,21,681:237,,,,,,,,,
3/24/2014 22:45:36,Junior4440,1st Echelon,19,19,706:229,RPFarm 1.3M,0,23,717:229,3rd Echelon,16,17,705:284,,,,,,,,,,,,,
3/24/2014 22:46:24,Ourkev117,This Death,20,20,729:241,This Love,19,19,664:243,This Hate,18,19,723:146,This Tragedy,17,19,704:272,,,,,,,,,
3/24/2014 23:19:32,flatwound4,flatwound4 1,18,21,715:229,flatwound4 2,16,18,717:223,flatwound4 3,13,12,719:223,,,,,,,,,,,,,
3/24/2014 23:42:49,Junior7923,Olympus,17,18,708:229,Olympus 2,0,19,705:221,Olympus 3,14,13,712:234,,,,,,,,,,,,,
3/25/2014 0:39:59,kenan_isik84,NaRKoZ,25,24,718:236,ZoKRaN,20,15,718:234,KoZNaR,19,14,707:284,RP-RaNZoK,0,24,714:236,AdEuS,0,0,718:238,,,,,
3/25/2014 8:32:07,saytaNiX,saytaNiX 1,26,21,681:255,saytaNiX 2,11,20,706:280,saytaNiX 3,0,18,715:248,saytaNiX 4,19,18,715:250,,,,,,,,,
3/25/2014 9:31:37,puddlerunner,puddle 1,20,17,701:251,puddle 2,18,16,705:251,puddle 3,18,12,702:249,puddle 4,16,13,704:249,,,,,,,,,
